name,HAIR,SEX,Year
Illyana Rasputina (Earth-616),Blond Hair,Female Characters,1975
Johann Shmidt (Earth-616),Blond Hair,Male Characters,1941
Fandral (Earth-616),Blond Hair,Male Characters,1965
Sean Cassidy (Earth-616),Strawberry Blond Hair,Male Characters,1967
Thomas Raymond (Earth-616),Black Hair,Male Characters,1940
Uatu (Earth-616),Bald,Male Characters,1963
Richard Rider (Earth-616),Brown Hair,Male Characters,1976
Hogun (Earth-616),Black Hair,Male Characters,1965
Raven Darkholme (Earth-616),Red Hair,Female Characters,1978
Barbara Morse (Earth-616),Blond Hair,Female Characters,1971
Blackagar Boltagon (Earth-616),Black Hair,Male Characters,1965
Brunnhilde (Earth-616),Blond Hair,Female Characters,1970
Alison Blaire (Earth-616),Strawberry Blond Hair,Female Characters,1980
Venom (Symbiote) (Earth-616),No Hair,Agender Characters,1984
John Walker (Earth-616),Blond Hair,Male Characters,1986
Greer Grant (Earth-616),Black Hair,Female Characters,1972
Karla Sofen (Earth-616),Blond Hair,Female Characters,1975
William Baker (Earth-616),Brown Hair,Male Characters,1963
Sharon Carter (Earth-616),Blond Hair,Female Characters,1966
Felicia Hardy (Earth-616),Blond Hair,Female Characters,1979
Cain Marko (Earth-616),Red Hair,Male Characters,1965
Monica Rambeau (Earth-616),Black Hair,Female Characters,
Maria Hill (Earth-616),Black Hair,Female Characters,2005
Ben Urich (Earth-616),Brown Hair,Male Characters,1978
Heather Douglas (Earth-616),Bald,Female Characters,1973
Millicent Collins (Earth-616),Blond Hair,Female Characters,1945
James Proudstar (Earth-616),Black Hair,Male Characters,1984
Angelica Jones (Earth-616),Red Hair,Female Characters,1985
Edward Brock (Earth-616),Blond Hair,Male Characters,1986
MacDonald Gargan (Earth-616),Bald,Male Characters,1964
Mephisto (Earth-616),Black Hair,Male Characters,1968
Tabitha Smith (Earth-616),Blond Hair,Female Characters,1985
Jean-Paul Beaubier (Earth-616),Black Hair,Male Characters,1979
Daniel Ketch (Earth-616),Brown Hair,Male Characters,1990
Neena Thurman (Earth-616),Black Hair,Female Characters,1992
Wong (Earth-616),Bald,Male Characters,1963
Thanos (Earth-616),No Hair,Male Characters,1973
Shang-Chi (Earth-616),Black Hair,Male Characters,1973
Alicia Masters (Earth-616),Strawberry Blond Hair,Female Characters,1962
Robert Baldwin (Earth-616),Blond Hair,Male Characters,1988
Vance Astrovik (Earth-616),Brown Hair,Male Characters,1975
Wendell Vaughn (Earth-616),Blond Hair,Male Characters,1978
Chili Storm (Earth-616),Red Hair,Female Characters,1948
Abner Jenkins (Earth-616),Brown Hair,Male Characters,1964
Elektra Natchios (Earth-616),Black Hair,Female Characters,1981
Bullseye (Lester) (Earth-616),Blond Hair,Male Characters,1976
Forge (Earth-616),Black Hair,Male Characters,1984
Virginia Potts (Earth-616),Red Hair,Female Characters,1963
Walter Langkowski (Earth-616),Blond Hair,Male Characters,1979
Gorgon (Earth-616),Brown Hair,Male Characters,1965
James Madrox (Earth-616),Brown Hair,Male Characters,1975
Heimdall (Earth-616),Brown Hair,Male Characters,1962
Theresa Cassidy (Earth-616),Red Hair,Female Characters,1981
Laura Kinney (Earth-616),Black Hair,Female Characters,2004
Arthur Douglas (Earth-616),Brown Hair,Male Characters,1973
Peter Parker (Ben Reilly) (Earth-616),Blond Hair,Male Characters,1975
Warlock (Technarch) (Earth-616),No Hair,Male Characters,1984
Kevin Plunder (Earth-616),Blond Hair,Male Characters,1965
Leonard Samson (Earth-616),Green Hair,Male Characters,1971
Melissa Gold (Earth-616),Blond Hair,Female Characters,1979
Lockheed (Earth-616),No Hair,Male Characters,1983
Mercedes Knight (Earth-616),Black Hair,Female Characters,1972
Moira Kinross (Earth-616),Brown Hair,Female Characters,1975
Karnak (Earth-616),Black Hair,Male Characters,1965
Namorita Prentiss (Earth-616),Blond Hair,Female Characters,1972
Lockjaw (Earth-616),Brown Hair,Male Characters,1965
Adam Warlock (Earth-616),Gold Hair,Male Characters,1967
Heather McNeil (Earth-616),Red Hair,Female Characters,1980
Curtis Connors (Earth-616),No Hair,Male Characters,1963
Theodore Sallis (Earth-616),No Hair,Male Characters,1971
Adrian Toomes (Earth-616),Bald,Male Characters,1963
Amora (Earth-616),Blond Hair,Female Characters,1964
Clea (Earth-616),White Hair,Female Characters,1964
Mar-Vell (Earth-616),Blond Hair,Male Characters,1967
Eugene Judd (Earth-616),Bald,Male Characters,1983
Daimon Hellstrom (Earth-616),Red Hair,Male Characters,1973
John Jonah Jameson III (Earth-616),Auburn Hair,Male Characters,1963
Triton (Earth-616),No Hair,Male Characters,1965
Meggan Puceanu (Earth-616),,Female Characters,1983
Robert Reynolds (Earth-616),Blond Hair,Male Characters,2000
Aleksei Sytsevich (Earth-616),Brown Hair,Male Characters,1966
Santo Vaccarro (Earth-616),No Hair,Male Characters,2003
Jonathan Clay (Earth-616),Red Hair,Male Characters,1960
Ares (Earth-616),Brown Hair,Male Characters,1949
Sersi (Earth-616),Black Hair,Female Characters,1976
Guido Carosella (Earth-616),Bald,Male Characters,1985
